Image File Name,Human Label
146.png,truck
147.png,horse
148.png,cat
149.png,horse
150.png,deer
151.png,frog
152.png,horse
153.png,bird
154.png,frog
155.png,bird
156.png,ship
157.png,frog
158.png,airplane
159.png,deer
160.png,airplane
161.png,airplane
162.png,horse
163.png,frog
164.png,truck
165.png,truck
166.png,ship
167.png,ship
168.png,horse
169.png,horse
170.png,frog
171.png,deer
172.png,airplane
173.png,dog
174.png,horse
175.png,dog
176.png,bird
177.png,automobile
178.png,truck
179.png,automobile
180.png,horse
181.png,deer
182.png,ship
183.png,ship
184.png,cat
185.png,horse
186.png,frog
187.png,horse
188.png,airplane
189.png,bird
190.png,dog
191.png,cat
192.png,deer
193.png,deer
194.png,automobile
195.png,dog
196.png,bird
197.png,airplane
198.png,automobile
199.png,horse
200.png,horse
201.png,airplane
202.png,automobile
203.png,deer
204.png,automobile
205.png,bird
206.png,horse
207.png,frog
208.png,automobile
209.png,deer
210.png,horse
211.png,deer
212.png,frog
213.png,dog
214.png,truck
215.png,dog
216.png,truck
217.png,frog
218.png,horse
219.png,automobile
220.png,ship
221.png,automobile
222.png,truck
223.png,horse
224.png,frog
225.png,truck
226.png,cat
227.png,automobile
228.png,truck
229.png,cat
230.png,frog
231.png,cat
232.png,frog
233.png,horse
234.png,airplane
235.png,deer
236.png,dog
237.png,bird
238.png,deer
239.png,horse
240.png,frog
241.png,dog
242.png,horse
243.png,automobile
244.png,airplane
245.png,airplane
246.png,airplane
247.png,cat
248.png,frog
249.png,ship
250.png,airplane
251.png,deer
252.png,ship
253.png,cat
254.png,frog
255.png,cat
256.png,airplane
257.png,cat
258.png,ship
259.png,deer
260.png,airplane
261.png,frog
262.png,cat
263.png,cat
264.png,dog
265.png,cat
266.png,deer
267.png,horse
268.png,airplane
269.png,horse
270.png,frog
271.png,cat
272.png,cat
273.png,deer
274.png,truck
275.png,ship
276.png,deer
277.png,deer
278.png,dog
279.png,deer
280.png,ship
281.png,frog
282.png,bird
283.png,horse
284.png,deer
285.png,bird
286.png,deer
287.png,horse
288.png,truck
289.png,cat
290.png,frog
291.png,airplane
292.png,automobile
293.png,frog
294.png,automobile
295.png,horse
296.png,deer
297.png,truck
298.png,airplane
299.png,automobile
300.png,deer
301.png,truck
302.png,bird
303.png,deer
304.png,horse
305.png,frog
306.png,airplane
307.png,deer
308.png,automobile
309.png,deer
310.png,bird
311.png,truck
312.png,ship
313.png,frog
314.png,cat
315.png,deer
316.png,airplane
317.png,ship
318.png,airplane
319.png,automobile
320.png,horse
321.png,airplane
322.png,deer
323.png,frog
324.png,truck
325.png,deer
326.png,airplane
327.png,ship
328.png,automobile
329.png,airplane
330.png,frog
331.png,bird
332.png,dog
333.png,bird
334.png,cat
335.png,frog
336.png,bird
337.png,frog
338.png,bird
339.png,airplane
340.png,truck
341.png,frog
342.png,frog
343.png,bird
344.png,frog
345.png,bird
346.png,airplane
347.png,airplane
348.png,deer
349.png,ship
350.png,cat
351.png,bird
352.png,truck
353.png,deer
354.png,bird
355.png,automobile
356.png,dog
357.png,automobile
358.png,dog
359.png,ship
360.png,bird
361.png,truck
362.png,airplane
363.png,frog
364.png,automobile
365.png,ship
366.png,truck
367.png,airplane
368.png,airplane
369.png,airplane
370.png,horse
371.png,bird
372.png,airplane
373.png,airplane
374.png,dog
375.png,automobile
376.png,frog
377.png,truck
378.png,cat
379.png,truck
380.png,ship
381.png,deer
382.png,horse
383.png,truck
384.png,automobile
385.png,bird
386.png,cat
387.png,ship
388.png,dog
389.png,cat
390.png,horse
391.png,frog
392.png,dog
393.png,automobile
394.png,cat
395.png,bird
396.png,frog
397.png,cat
398.png,deer
399.png,truck
400.png,frog
401.png,dog
402.png,frog
403.png,bird
404.png,airplane
405.png,bird
406.png,truck
407.png,cat
408.png,frog
409.png,automobile
410.png,cat
411.png,dog
412.png,horse
413.png,horse
414.png,horse
415.png,airplane
416.png,airplane
417.png,frog
418.png,airplane
419.png,airplane
420.png,horse
421.png,ship
422.png,automobile
423.png,ship
424.png,horse
425.png,deer
426.png,frog
427.png,automobile
428.png,dog
429.png,deer
430.png,dog
431.png,horse
432.png,bird
433.png,frog
434.png,automobile
435.png,horse
436.png,deer
437.png,deer
438.png,horse
439.png,automobile
440.png,deer
441.png,dog
442.png,dog
443.png,deer
444.png,dog
445.png,horse
446.png,horse
447.png,bird
448.png,bird
449.png,automobile
450.png,truck
451.png,truck
452.png,ship
453.png,frog
454.png,frog
455.png,deer
456.png,deer
457.png,airplane
458.png,truck
459.png,horse
460.png,cat
461.png,horse
462.png,horse
463.png,horse
464.png,deer
465.png,dog
466.png,bird
467.png,bird
468.png,cat
469.png,ship
470.png,ship
471.png,frog
472.png,frog
473.png,truck
474.png,horse
475.png,ship
476.png,frog
477.png,ship
478.png,horse
479.png,deer
480.png,airplane
481.png,automobile
482.png,dog
483.png,dog
484.png,automobile
485.png,horse
486.png,horse
487.png,cat
488.png,deer
489.png,ship
490.png,dog
491.png,truck
492.png,ship
493.png,bird
494.png,dog
495.png,deer
496.png,horse
497.png,automobile
498.png,truck
499.png,ship
500.png,ship
501.png,truck
502.png,automobile
503.png,airplane
504.png,horse
505.png,cat
506.png,cat
507.png,automobile
508.png,airplane
509.png,truck
510.png,ship
511.png,truck
512.png,bird
513.png,ship
514.png,frog
515.png,bird
516.png,frog
517.png,frog
518.png,bird
519.png,ship
520.png,airplane
521.png,frog
522.png,cat
523.png,deer
524.png,horse
525.png,horse
526.png,horse
527.png,dog
528.png,dog
529.png,dog
530.png,deer
531.png,airplane
532.png,bird
533.png,horse
534.png,truck
535.png,deer
536.png,cat
537.png,automobile
538.png,bird
539.png,horse
540.png,bird
541.png,cat
542.png,deer
543.png,ship
544.png,deer
545.png,truck
546.png,automobile
547.png,automobile
548.png,deer
549.png,dog
550.png,airplane
551.png,automobile
552.png,truck
553.png,truck
554.png,bird
555.png,dog
556.png,dog
557.png,dog
558.png,horse
559.png,dog
560.png,ship
561.png,automobile
562.png,truck
563.png,dog
564.png,ship
565.png,deer
566.png,truck
567.png,bird
568.png,bird
569.png,horse
570.png,bird
571.png,automobile
572.png,frog
573.png,cat
574.png,automobile
575.png,bird
576.png,airplane
577.png,truck
578.png,frog
579.png,truck
580.png,horse
581.png,deer
582.png,horse
583.png,dog
584.png,ship
585.png,airplane
586.png,cat
587.png,bird
588.png,cat
589.png,truck
590.png,frog
591.png,deer
592.png,bird
593.png,dog
594.png,automobile
595.png,dog
596.png,ship
597.png,truck
598.png,dog
599.png,bird
600.png,cat
601.png,deer
602.png,horse
603.png,deer
604.png,deer
605.png,airplane
606.png,bird
607.png,bird
608.png,deer
609.png,bird
610.png,deer
611.png,airplane
612.png,ship
613.png,truck
614.png,automobile
615.png,frog
616.png,airplane
617.png,cat
618.png,horse
619.png,cat
620.png,dog
621.png,cat
622.png,frog
623.png,horse
624.png,cat
625.png,frog
626.png,bird
627.png,airplane
628.png,dog
629.png,frog
630.png,dog
631.png,airplane
632.png,deer
633.png,horse
634.png,dog
635.png,cat
636.png,bird
637.png,cat
638.png,bird
639.png,bird
640.png,frog
641.png,airplane
642.png,truck
643.png,cat
644.png,automobile
645.png,bird
646.png,frog
647.png,bird
648.png,cat
649.png,dog
650.png,ship
651.png,cat
652.png,ship
653.png,horse
654.png,cat
655.png,horse
656.png,horse
657.png,airplane
658.png,frog
659.png,automobile
660.png,truck
661.png,cat
662.png,bird
663.png,cat
664.png,cat
665.png,dog
666.png,ship
667.png,horse
668.png,frog
669.png,truck
670.png,dog
671.png,horse
672.png,dog
673.png,airplane
674.png,bird
675.png,automobile
676.png,dog
677.png,automobile
678.png,truck
679.png,frog
680.png,cat
681.png,bird
682.png,ship
683.png,truck
684.png,bird
685.png,airplane
686.png,horse
687.png,cat
688.png,cat
689.png,bird
690.png,automobile
691.png,ship
692.png,airplane
693.png,airplane
694.png,horse
695.png,truck
696.png,frog
697.png,ship
698.png,bird
699.png,ship
700.png,deer
701.png,automobile
702.png,deer
703.png,bird
704.png,horse
705.png,bird
706.png,automobile
707.png,horse
708.png,frog
709.png,airplane
710.png,ship
711.png,horse
712.png,truck
713.png,automobile
714.png,airplane
715.png,truck
716.png,horse
717.png,automobile
718.png,bird
719.png,truck
720.png,cat
721.png,airplane
722.png,ship
723.png,bird
724.png,deer
725.png,ship
726.png,deer
727.png,cat
728.png,deer
729.png,cat
730.png,ship
731.png,horse
732.png,horse
733.png,frog
734.png,frog
735.png,dog
736.png,ship
737.png,ship
738.png,horse
739.png,automobile
740.png,truck
741.png,truck
742.png,bird
743.png,airplane
744.png,ship
745.png,truck
746.png,automobile
747.png,automobile
748.png,bird
749.png,bird
750.png,ship
751.png,airplane
752.png,ship
753.png,dog
754.png,deer
755.png,horse
756.png,deer
757.png,automobile
758.png,dog
759.png,ship
760.png,cat
761.png,airplane
762.png,ship
763.png,ship
764.png,airplane
765.png,ship
766.png,dog
767.png,deer
768.png,ship
769.png,bird
770.png,dog
771.png,ship
772.png,bird
773.png,deer
774.png,airplane
775.png,ship
776.png,automobile
777.png,ship
778.png,ship
779.png,horse
780.png,bird
781.png,automobile
782.png,horse
783.png,automobile
784.png,dog
785.png,bird
786.png,bird
787.png,airplane
788.png,frog
789.png,truck
790.png,frog
791.png,cat
792.png,airplane
793.png,dog
794.png,truck
795.png,truck
796.png,bird
797.png,cat
798.png,automobile
799.png,truck
800.png,deer
801.png,deer
802.png,automobile
803.png,dog
804.png,frog
805.png,truck
806.png,horse
807.png,bird
808.png,automobile
809.png,frog
810.png,ship
811.png,deer
812.png,dog
813.png,truck
814.png,bird
815.png,dog
816.png,dog
817.png,frog
818.png,bird
819.png,frog
820.png,truck
821.png,airplane
822.png,frog
823.png,frog
824.png,dog
825.png,truck
826.png,airplane
827.png,cat
828.png,bird
829.png,frog
830.png,bird
831.png,automobile
832.png,bird
833.png,bird
834.png,airplane
835.png,dog
836.png,bird
837.png,deer
838.png,truck
839.png,bird
840.png,frog
841.png,cat
842.png,automobile
843.png,horse
844.png,dog
845.png,bird
846.png,bird
847.png,bird
848.png,bird
849.png,deer
850.png,cat
851.png,cat
852.png,ship
853.png,ship
854.png,deer
855.png,dog
856.png,deer
857.png,frog
858.png,horse
859.png,automobile
860.png,cat
861.png,dog
862.png,cat
863.png,frog
864.png,bird
865.png,cat
866.png,automobile
867.png,frog
868.png,frog
869.png,frog
870.png,cat
871.png,horse
872.png,automobile
873.png,deer
874.png,truck
875.png,ship
876.png,frog
877.png,automobile
878.png,dog
879.png,truck
880.png,airplane
881.png,airplane
882.png,horse
883.png,dog
884.png,dog
885.png,horse
886.png,automobile
887.png,automobile
888.png,airplane
889.png,bird
890.png,deer
891.png,automobile
892.png,bird
893.png,automobile
894.png,cat
895.png,horse
896.png,ship
897.png,bird
898.png,horse
899.png,truck
900.png,dog
901.png,cat
902.png,ship
903.png,ship
904.png,frog
905.png,dog
906.png,truck
907.png,truck
908.png,automobile
909.png,bird
910.png,bird
911.png,automobile
912.png,dog
913.png,horse
914.png,dog
915.png,dog
916.png,truck
917.png,ship
918.png,ship
919.png,bird
920.png,bird
921.png,airplane
922.png,dog
923.png,frog
924.png,airplane
925.png,truck
926.png,deer
927.png,airplane
928.png,airplane
929.png,automobile
930.png,cat
931.png,airplane
932.png,truck
933.png,ship
934.png,horse
935.png,truck
936.png,dog
937.png,frog
938.png,deer
939.png,airplane
940.png,bird
941.png,automobile
942.png,dog
943.png,truck
944.png,airplane
945.png,airplane
946.png,ship
947.png,bird
948.png,cat
949.png,airplane
950.png,horse
951.png,horse
952.png,airplane
953.png,cat
954.png,frog
955.png,airplane
956.png,ship
957.png,ship
958.png,deer
959.png,cat
960.png,automobile
961.png,automobile
962.png,dog
963.png,horse
964.png,truck
965.png,cat
966.png,deer
967.png,ship
968.png,truck
969.png,airplane
970.png,airplane
971.png,bird
972.png,airplane
973.png,bird
974.png,truck
975.png,automobile
976.png,ship
977.png,bird
978.png,automobile
979.png,cat
980.png,cat
981.png,horse
982.png,deer
983.png,frog
984.png,ship
985.png,automobile
986.png,bird
987.png,automobile
988.png,frog
989.png,airplane
990.png,bird
991.png,ship
992.png,dog
993.png,airplane
994.png,bird
995.png,dog
996.png,truck
997.png,frog
998.png,automobile
999.png,truck
1000.png,horse
1001.png,dog
1002.png,automobile
1003.png,airplane
1004.png,dog
1005.png,bird
1006.png,horse
1007.png,truck
1008.png,dog
1009.png,cat
1010.png,dog
1011.png,dog
1012.png,dog
1013.png,truck
1014.png,automobile
1015.png,cat
1016.png,dog
1017.png,cat
1018.png,bird
1019.png,dog
1020.png,ship
1021.png,ship
1022.png,frog
1023.png,frog
1024.png,ship
1025.png,automobile
1026.png,airplane
1027.png,deer
1028.png,dog
1029.png,deer
1030.png,horse
1031.png,automobile
1032.png,ship
1033.png,horse
1034.png,deer
1035.png,cat
1036.png,automobile
1037.png,truck
1038.png,airplane
1039.png,truck
1040.png,dog
1041.png,horse
1042.png,horse
1043.png,airplane
1044.png,frog
1045.png,bird
1046.png,automobile
1047.png,horse
1048.png,truck
1049.png,airplane
1050.png,deer
1051.png,frog
1052.png,bird
1053.png,bird
1054.png,cat
1055.png,ship
1056.png,horse
1057.png,bird
1058.png,ship
1059.png,truck
1060.png,truck
1061.png,dog
1062.png,frog
1063.png,horse
1064.png,ship
1065.png,automobile
1066.png,ship
1067.png,truck
1068.png,bird
1069.png,horse
1070.png,ship
1071.png,cat
1072.png,truck
1073.png,truck
1074.png,bird
1075.png,bird
1076.png,airplane
1077.png,dog
1078.png,automobile
1079.png,ship
1080.png,bird
1081.png,frog
1082.png,automobile
1083.png,truck
1084.png,airplane
1085.png,automobile
1086.png,automobile
1087.png,horse
1088.png,deer
1089.png,horse
1090.png,airplane
1091.png,cat
1092.png,airplane
1093.png,ship
1094.png,ship
1095.png,cat
1096.png,truck
1097.png,cat
1098.png,truck
1099.png,ship
1100.png,horse
1101.png,cat
1102.png,deer
1103.png,truck
1104.png,cat
1105.png,deer
1106.png,truck
1107.png,automobile
1108.png,bird
1109.png,frog
1110.png,automobile
1111.png,deer
1112.png,ship
1113.png,frog
1114.png,bird
1115.png,bird
1116.png,truck
1117.png,frog
1118.png,cat
1119.png,horse
1120.png,frog
1121.png,cat
1122.png,cat
1123.png,cat
1124.png,cat
1125.png,horse
1126.png,dog
1127.png,dog
1128.png,dog
1129.png,frog
1130.png,automobile
1131.png,automobile
1132.png,automobile
1133.png,cat
1134.png,airplane
1135.png,dog
1136.png,horse
1137.png,horse
1138.png,cat
1139.png,bird
1140.png,ship
1141.png,cat
1142.png,bird
1143.png,bird
1144.png,truck
1145.png,frog
1146.png,ship
1147.png,cat
1148.png,bird
1149.png,bird
1150.png,ship
1151.png,ship
1152.png,frog
1153.png,truck
1154.png,cat
1155.png,automobile
1156.png,horse
1157.png,automobile
1158.png,bird
1159.png,truck
1160.png,bird
1161.png,airplane
1162.png,airplane
1163.png,ship
1164.png,automobile
1165.png,airplane
1166.png,bird
1167.png,frog
1168.png,bird
1169.png,truck
1170.png,deer
1171.png,truck
1172.png,ship
1173.png,cat
1174.png,cat
1175.png,frog
1176.png,horse
1177.png,bird
1178.png,truck
1179.png,cat
1180.png,horse
1181.png,deer
1182.png,cat
1183.png,truck
1184.png,truck
1185.png,horse
1186.png,bird
1187.png,horse
1188.png,frog
1189.png,dog
1190.png,cat
1191.png,automobile
1192.png,cat
1193.png,cat
1194.png,frog
1195.png,frog
1196.png,ship
1197.png,cat
1198.png,cat
1199.png,airplane
1200.png,truck
1201.png,cat
1202.png,dog
1203.png,bird
1204.png,frog
1205.png,truck
1206.png,automobile
1207.png,frog
1208.png,deer
1209.png,ship
1210.png,horse
1211.png,bird
1212.png,automobile
1213.png,bird
1214.png,truck
1215.png,bird
1216.png,frog
1217.png,airplane
1218.png,horse
1219.png,automobile
1220.png,ship
1221.png,truck
1222.png,truck
1223.png,dog
1224.png,bird
1225.png,horse
1226.png,truck
1227.png,horse
1228.png,horse
1229.png,cat
1230.png,bird
1231.png,frog
1232.png,frog
1233.png,truck
1234.png,airplane
1235.png,horse
1236.png,frog
1237.png,cat
1238.png,airplane
1239.png,deer
1240.png,automobile
1241.png,bird
1242.png,automobile
1243.png,cat
1244.png,truck
1245.png,airplane
1246.png,cat
1247.png,frog
1248.png,dog
1249.png,airplane
1250.png,horse
1251.png,bird
1252.png,truck
1253.png,deer
1254.png,dog
1255.png,airplane
1256.png,cat
1257.png,ship
1258.png,ship
1259.png,truck
1260.png,horse
1261.png,frog
1262.png,ship
1263.png,automobile
1264.png,horse
1265.png,ship
1266.png,truck
1267.png,frog
1268.png,bird
1269.png,deer
1270.png,deer
1271.png,truck
1272.png,deer
1273.png,truck
1274.png,horse
1275.png,frog
1276.png,truck
1277.png,bird
1278.png,truck
1279.png,automobile
1280.png,dog
1281.png,bird
1282.png,deer
1283.png,bird
1284.png,truck
1285.png,airplane
1286.png,bird
1287.png,airplane
1288.png,cat
1289.png,frog
1290.png,airplane
1291.png,truck
1292.png,airplane
1293.png,airplane
1294.png,automobile
1295.png,frog
1296.png,automobile
1297.png,deer
1298.png,horse
1299.png,frog
1300.png,cat
1301.png,truck
1302.png,truck
1303.png,cat
1304.png,automobile
1305.png,bird
1306.png,cat
1307.png,truck
1308.png,bird
1309.png,truck
1310.png,truck
1311.png,bird
1312.png,bird
1313.png,frog
1314.png,frog
1315.png,bird
1316.png,dog
1317.png,truck
1318.png,horse
1319.png,frog
1320.png,horse
1321.png,bird
1322.png,cat
1323.png,horse
1324.png,automobile
1325.png,airplane
1326.png,truck
1327.png,bird
1328.png,dog
1329.png,automobile
1330.png,frog
1331.png,automobile
1332.png,frog
1333.png,cat
1334.png,frog
1335.png,deer
1336.png,bird
1337.png,truck
1338.png,horse
1339.png,automobile
1340.png,bird
1341.png,horse
1342.png,truck
1343.png,dog
1344.png,bird
1345.png,horse
1346.png,horse
1347.png,automobile
1348.png,ship
1349.png,deer
1350.png,dog
1351.png,bird
1352.png,automobile
1353.png,cat
1354.png,dog
1355.png,cat
1356.png,airplane
1357.png,airplane
1358.png,bird
1359.png,deer
1360.png,truck
1361.png,deer
1362.png,cat
1363.png,frog
1364.png,ship
1365.png,horse
1366.png,automobile
1367.png,deer
1368.png,cat
1369.png,truck
1370.png,dog
1371.png,truck
1372.png,dog
1373.png,horse
1374.png,dog
1375.png,truck
1376.png,truck
1377.png,horse
1378.png,airplane
1379.png,automobile
1380.png,cat
1381.png,deer
1382.png,frog
1383.png,dog
1384.png,truck
1385.png,horse
1386.png,cat
1387.png,truck
1388.png,frog
1389.png,ship
1390.png,deer
1391.png,truck
1392.png,bird
1393.png,automobile
1394.png,frog
1395.png,ship
1396.png,deer
1397.png,ship
1398.png,deer
1399.png,horse
1400.png,deer
1401.png,ship
1402.png,horse
1403.png,airplane
1404.png,cat
1405.png,truck
1406.png,bird
1407.png,automobile
1408.png,horse
1409.png,bird
1410.png,dog
1411.png,dog
1412.png,ship
1413.png,frog
1414.png,truck
1415.png,frog
1416.png,bird
1417.png,cat
1418.png,frog
1419.png,ship
1420.png,dog
1421.png,ship
1422.png,dog
1423.png,horse
1424.png,airplane
1425.png,automobile
1426.png,automobile
1427.png,cat
1428.png,bird
1429.png,horse
1430.png,deer
1431.png,frog
1432.png,cat
1433.png,cat
1434.png,automobile
1435.png,truck
1436.png,ship
1437.png,deer
1438.png,horse
1439.png,frog
1440.png,ship
1441.png,frog
1442.png,horse
1443.png,bird
1444.png,horse
1445.png,automobile
1446.png,truck
1447.png,deer
1448.png,ship
1449.png,cat
1450.png,automobile
1451.png,cat
1452.png,truck
1453.png,ship
1454.png,deer
1455.png,deer
1456.png,horse
1457.png,ship
1458.png,ship
1459.png,dog
1460.png,airplane
1461.png,cat
1462.png,ship
1463.png,cat
1464.png,deer
1465.png,airplane
1466.png,dog
1467.png,horse
1468.png,bird
1469.png,deer
1470.png,ship
1471.png,automobile
1472.png,horse
1473.png,automobile
1474.png,horse
1475.png,bird
1476.png,deer
1477.png,cat
1478.png,bird
1479.png,frog
1480.png,cat
1481.png,truck
1482.png,dog
1483.png,frog
1484.png,frog
1485.png,ship
1486.png,truck
1487.png,airplane
1488.png,automobile
1489.png,ship
1490.png,automobile
1491.png,airplane
1492.png,airplane
1493.png,truck
1494.png,dog
1495.png,ship
1496.png,deer
1497.png,dog
1498.png,bird
1499.png,bird
1500.png,dog
1501.png,ship
1502.png,automobile
1503.png,frog
1504.png,dog
1505.png,bird
1506.png,truck
1507.png,dog
1508.png,frog
1509.png,bird
1510.png,bird
1511.png,deer
1512.png,horse
1513.png,dog
1514.png,truck
1515.png,airplane
1516.png,cat
1517.png,automobile
1518.png,frog
1519.png,cat
1520.png,frog
1521.png,airplane
1522.png,automobile
1523.png,truck
1524.png,truck
1525.png,deer
1526.png,deer
1527.png,dog
1528.png,frog
1529.png,automobile
1530.png,airplane
1531.png,airplane
1532.png,cat
1533.png,truck
1534.png,automobile
1535.png,automobile
1536.png,frog
1537.png,frog
1538.png,deer
1539.png,dog
1540.png,frog
1541.png,deer
1542.png,dog
1543.png,airplane
1544.png,airplane
1545.png,airplane
1546.png,truck
1547.png,ship
1548.png,bird
1549.png,dog
1550.png,airplane
1551.png,cat
1552.png,horse
1553.png,ship
1554.png,cat
1555.png,ship
1556.png,dog
1557.png,ship
1558.png,frog
1559.png,bird
1560.png,dog
1561.png,horse
1562.png,automobile
1563.png,bird
1564.png,frog
1565.png,horse
1566.png,airplane
1567.png,automobile
1568.png,deer
1569.png,deer
1570.png,deer
1571.png,airplane
1572.png,bird
1573.png,ship
1574.png,horse
1575.png,dog
1576.png,dog
1577.png,bird
1578.png,dog
1579.png,deer
1580.png,airplane
1581.png,deer
1582.png,automobile
1583.png,frog
1584.png,cat
1585.png,dog
1586.png,dog
1587.png,frog
1588.png,truck
1589.png,bird
1590.png,ship
1591.png,dog
1592.png,automobile
1593.png,airplane
1594.png,cat
1595.png,ship
1596.png,cat
1597.png,cat
1598.png,cat
1599.png,airplane
1600.png,bird
1601.png,cat
1602.png,truck
1603.png,horse
1604.png,horse
1605.png,truck
1606.png,dog
1607.png,bird
1608.png,dog
1609.png,ship
1610.png,deer
1611.png,ship
1612.png,cat
1613.png,airplane
1614.png,ship
1615.png,deer
1616.png,automobile
1617.png,automobile
1618.png,truck
1619.png,cat
1620.png,horse
1621.png,bird
1622.png,cat
1623.png,frog
1624.png,ship
1625.png,cat
1626.png,frog
1627.png,airplane
1628.png,bird
1629.png,ship
1630.png,ship
1631.png,ship
1632.png,bird
1633.png,horse
1634.png,automobile
1635.png,automobile
1636.png,automobile
1637.png,horse
1638.png,dog
1639.png,horse
1640.png,dog
1641.png,airplane
1642.png,bird
1643.png,frog
1644.png,ship
1645.png,frog
1646.png,bird
1647.png,truck
1648.png,dog
1649.png,cat
1650.png,cat
1651.png,dog
1652.png,cat
1653.png,bird
1654.png,frog
1655.png,bird
1656.png,dog
1657.png,airplane
1658.png,dog
1659.png,deer
1660.png,frog
1661.png,ship
1662.png,airplane
1663.png,truck
1664.png,dog
1665.png,frog
1666.png,horse
1667.png,airplane
1668.png,truck
1669.png,dog
1670.png,horse
1671.png,truck
1672.png,bird
1673.png,dog
1674.png,cat
1675.png,horse
1676.png,truck
1677.png,dog
1678.png,frog
1679.png,cat
1680.png,automobile
1681.png,horse
1682.png,bird
1683.png,automobile
1684.png,truck
1685.png,ship
1686.png,automobile
1687.png,airplane
1688.png,dog
1689.png,horse
1690.png,dog
1691.png,cat
1692.png,automobile
1693.png,truck
1694.png,horse
1695.png,dog
1696.png,bird
1697.png,horse
1698.png,dog
1699.png,automobile
1700.png,truck
1701.png,deer
1702.png,ship
1703.png,automobile
1704.png,truck
1705.png,automobile
1706.png,dog
1707.png,airplane
1708.png,truck
1709.png,deer
1710.png,bird
1711.png,deer
1712.png,dog
1713.png,deer
1714.png,cat
1715.png,horse
1716.png,truck
1717.png,bird
1718.png,frog
1719.png,bird
1720.png,truck
1721.png,automobile
1722.png,dog
1723.png,truck
1724.png,deer
1725.png,truck
1726.png,bird
1727.png,ship
1728.png,frog
1729.png,dog
1730.png,deer
1731.png,automobile
1732.png,dog
1733.png,dog
1734.png,ship
1735.png,dog
1736.png,frog
1737.png,frog
1738.png,airplane
1739.png,airplane
1740.png,automobile
1741.png,horse
1742.png,automobile
1743.png,automobile
1744.png,airplane
1745.png,bird
1746.png,truck
1747.png,ship
1748.png,truck
1749.png,cat
1750.png,frog
1751.png,truck
1752.png,horse
1753.png,deer
1754.png,deer
1755.png,cat
1756.png,ship
1757.png,deer
1758.png,truck
1759.png,truck
1760.png,dog
1761.png,frog
1762.png,horse
1763.png,airplane
1764.png,ship
1765.png,dog
1766.png,bird
1767.png,horse
1768.png,bird
1769.png,truck
1770.png,dog
1771.png,bird
1772.png,automobile
1773.png,automobile
1774.png,airplane
1775.png,horse
1776.png,airplane
1777.png,bird
1778.png,dog
1779.png,airplane
1780.png,airplane
1781.png,truck
1782.png,airplane
1783.png,bird
1784.png,dog
1785.png,deer
1786.png,ship
1787.png,bird
1788.png,ship
1789.png,dog
1790.png,dog
1791.png,automobile
1792.png,deer
1793.png,automobile
1794.png,airplane
1795.png,bird
1796.png,truck
1797.png,horse
1798.png,ship
1799.png,cat
1800.png,cat
1801.png,cat
1802.png,airplane
1803.png,horse
1804.png,cat
1805.png,airplane
1806.png,ship
1807.png,airplane
1808.png,dog
1809.png,airplane
1810.png,airplane
1811.png,ship
1812.png,frog
1813.png,airplane
1814.png,ship
1815.png,bird
1816.png,truck
1817.png,dog
1818.png,automobile
1819.png,horse
1820.png,dog
1821.png,ship
1822.png,deer
1823.png,frog
1824.png,ship
1825.png,bird
1826.png,horse
